(BizFavoriteCliDialog.java:107) : codNum : C1001, codType : LM, codName : RST-SYS-STS
(BizFavoriteCliDialog.java:107) : codNum : C2001, codType : CM, codName : DIS-1588-MST
(BizFavoriteCliDialog.java:107) : codNum : C2002, codType : CM, codName : ADD-1588-MST
(BizFavoriteCliDialog.java:107) : codNum : C2003, codType : CM, codName : DEL-1588-MST
(BizFavoriteCliDialog.java:107) : codNum : C2004, codType : CM, codName : DIS-GW-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2006, codType : CM, codName : DIS-UE-LIST
(BizFavoriteCliDialog.java:107) : codNum : C2005, codType : CM, codName : CHG-GW-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2007, codType : CM, codName : DIS-EPC-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2008, codType : CM, codName : CHG-EPC-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2009, codType : CM, codName : DIS-S1AP-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2010, codType : CM, codName : CHG-S1AP-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2012, codType : CM, codName : CHG-S1U-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2011, codType : CM, codName : DIS-S1U-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2013, codType : CM, codName : DIS-X2AP-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2014, codType : CM, codName : CHG-X2AP-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2015, codType : CM, codName : DIS-RF-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2016, codType : CM, codName : CHG-RF-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2017, codType : CM, codName : DIS-UCPL-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2018, codType : CM, codName : CHG-UCPL-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2019, codType : CM, codName : DIS-PHICH-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2020, codType : CM, codName : CHG-PHICH-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2021, codType : CM, codName : DIS-PDSCH-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2022, codType : CM, codName : CHG-PDSCH-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2025, codType : CM, codName : DIS-PRACH-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2026, codType : CM, codName : CHG-PRACH-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2027, codType : CM, codName : DIS-PUCCH-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2028, codType : CM, codName : CHG-PUCCH-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2029, codType : CM, codName : DIS-PUSCH-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2030, codType : CM, codName : CHG-PUSCH-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2031, codType : CM, codName : DIS-DEVICE-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2032, codType : CM, codName : DIS-CWMP-INFO
